time,flux,filt,sample
-19.499999999999986,-5.3405626659672905,g,0
-19.458333333333318,-5.266183890058095,g,0
-19.41666666666665,-5.1927884328935185,g,0
-19.374999999999982,-5.120371828209326,g,0
-19.333333333333314,-5.0489289733987235,g,0
-19.291666666666647,-4.978451965864693,g,0
-19.24999999999998,-4.908933834612817,g,0
-19.20833333333331,-4.840366356203887,g,0
-19.166666666666643,-4.772741496451392,g,0
-19.124999999999975,-4.706048657360547,g,0
-19.083333333333307,-4.640280193147806,g,0
-19.04166666666664,-4.575424794730495,g,0
-18.99999999999997,-4.511472723199084,g,0
-18.958333333333304,-4.448412911715437,g,0
-18.916666666666636,-4.386235609104386,g,0
-18.874999999999968,-4.324929181255893,g,0
-18.8333333333333,-4.264482541294857,g,0
-18.791666666666632,-4.204884809263117,g,0
-18.749999999999964,-4.146123925208325,g,0
-18.708333333333297,-4.088189483946692,g,0
-18.66666666666663,-4.03107174372013,g,0
-18.62499999999996,-3.974756716175854,g,0
-18.583333333333293,-3.919233777168241,g,0
-18.541666666666625,-3.8644930769083494,g,0
-18.499999999999957,-3.8105217941154343,g,0
-18.45833333333329,-3.7573085990956265,g,0
-18.41666666666662,-3.704844731637305,g,0
-18.374999999999954,-3.653116461989981,g,0
-18.333333333333286,-3.6021150195090854,g,0
-18.291666666666618,-3.551828059544505,g,0
-18.24999999999995,-3.5022455513883415,g,0
-18.208333333333282,-3.45335708190542,g,0
-18.166666666666615,-3.405152339990785,g,0
-18.124999999999947,-3.357620179428583,g,0
-18.08333333333328,-3.3107511117985453,g,0
-18.04166666666661,-3.2645347127679933,g,0
-17.999999999999943,-3.218961039491866,g,0
-17.958333333333275,-3.174019828635231,g,0
-17.916666666666607,-3.129702125865382,g,0
-17.87499999999994,-3.085998079817152,g,0
-17.83333333333327,-3.042897851955871,g,0
-17.791666666666604,-3.000392958418768,g,0
-17.749999999999936,-2.9584736549948225,g,0
-17.708333333333268,-2.917130552647503,g,0
-17.6666666666666,-2.876355485272729,g,0
-17.624999999999932,-2.836139374527747,g,0
-17.583333333333265,-2.7964738252057906,g,0
-17.541666666666597,-2.757349798867402,g,0
-17.49999999999993,-2.718759606443431,g,0
-17.45833333333326,-2.680694788174552,g,0
-17.416666666666593,-2.6431470415929645,g,0
-17.374999999999925,-2.606108566747128,g,0
-17.333333333333258,-2.569571601572516,g,0
-17.29166666666659,-2.5335283903272448,g,0
-17.249999999999922,-2.4979714090932745,g,0
-17.208333333333254,-2.462892952834693,g,0
-17.166666666666586,-2.4282860436640057,g,0
-17.12499999999992,-2.394143148476047,g,0
-17.08333333333325,-2.3604576940624398,g,0
-17.041666666666583,-2.3272221004572984,g,0
-16.999999999999915,-2.294429785901105,g,0
-16.958333333333247,-2.2620742682962423,g,0
-16.91666666666658,-2.230148795832612,g,0
-16.87499999999991,-2.1986464969981405,g,0
-16.833333333333243,-2.167561186888534,g,0
-16.791666666666575,-2.136886993322605,g,0
-16.749999999999908,-2.106617351562992,g,0
-16.70833333333324,-2.076745887900092,g,0
-16.666666666666572,-2.047267578519044,g,0
-16.624999999999904,-2.0181755195083966,g,0
-16.583333333333236,-1.9894644070490735,g,0
-16.54166666666657,-1.961128801549446,g,0
-16.4999999999999,-1.9331625465366962,g,0
-16.458333333333233,-1.9055608874668621,g,0
-16.416666666666565,-1.8783176480771928,g,0
-16.374999999999897,-1.8514279218239054,g,0
