,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,58811.264652799815,361.9205902996473,g,g,4204.414142857143,4204.414142857143,1.9807691398821563e-17,-3.64620429273279,6.8076872115027166e-18,0.3436890788750744,21.240850657063163,-9.397078737979273,0.3436890788750744,False
1,59829.487916700076,1380.1438541999087,g,g,4204.414142857143,4204.414142857143,5.049669131971691e-17,-3.2397752309780934,4.723737635722477e-18,0.09354548807592962,20.224778002676416,-8.381006083592526,0.09354548807592962,False
2,59844.447754600085,1395.1036920999177,g,g,4190.259714285714,4190.259714285714,1.3528175146970771e-17,-3.811798936513185,4.876179059656969e-18,0.36044618041102483,21.654837266514146,-9.811065347430256,0.36044618041102483,False
3,58206.139953699894,-243.2041088002734,g,g,4830.0,4830.0,1.2580535894157309e-16,-2.8433390126934217,1.2580535894157309e-17,0.1,19.233687456964738,-7.389915537880848,0.1,True
4,58314.47564810002,-134.8684144001454,g,g,4830.0,4830.0,4.4418023367255604e-17,-3.2954789256378696,4.4418023367255604e-18,0.1,20.36403723932586,-8.52026532024197,0.1,True
5,58320.46443289984,-128.87962960032746,g,g,3697.5018775510202,3697.5018775510202,3.484275021625056e-16,-2.400925726351705,3.4842750216250564e-17,0.1,18.12765424111045,-6.2838823220265585,0.1,True
6,58323.44391199993,-125.90015050023794,g,g,4204.414142857143,4204.414142857143,2.801785404950526e-17,-3.495603285243849,2.8017854049505264e-18,0.1,20.86434813834081,-9.020576219256919,0.1,True
7,58326.497280099895,-122.84678240027279,g,g,4830.0,4830.0,1.0576145956807717e-16,-2.9187107181827887,1.0576145956807717e-17,0.1,19.422116720688155,-7.578344801604265,0.1,True
8,58329.463090300094,-119.8809722000733,g,g,4830.0,4830.0,7.790370201012422e-17,-3.0514800578928742,7.790370201012423e-18,0.1,19.754040069963366,-7.910268150879476,0.1,True
9,58332.48171300022,-116.86234949994832,g,g,4830.0,4830.0,5.985900993738771e-16,-2.1659086245035635,5.985900993738771e-17,0.1,17.540111486490094,-5.696339567406204,0.1,True
10,58337.418877299875,-111.92518520029262,g,g,4204.414142857143,4204.414142857143,3.265875633050907e-17,-3.4290385114138253,3.2658756330509074e-18,0.1,20.697936203765746,-8.854164284681856,0.1,True
11,58340.48643520009,-108.85762730007991,g,g,4204.414142857143,4204.414142857143,2.4604042983753812e-17,-3.55203167680218,2.4604042983753815e-18,0.1,21.005419117236638,-9.161647198152748,0.1,True
12,58343.455578700174,-105.88848379999399,g,g,4204.414142857143,4204.414142857143,2.0349304681642248e-17,-3.63448857953237,2.0349304681642247e-18,0.1,21.211561374062114,-9.367789454978224,0.1,True
13,58346.49701389996,-102.84704860020429,g,g,4204.414142857143,4204.414142857143,2.3676042916970915e-17,-3.5687290353404,2.3676042916970915e-18,0.1,21.047162513582183,-9.203390594498293,0.1,True
14,58349.442256900016,-99.90180560015142,g,g,4204.414142857143,4204.414142857143,1.8305157377220063e-17,-3.680464686827783,1.8305157377220063e-18,0.1,21.32650164230064,-9.482729723216751,0.1,True
15,58352.45194440009,-96.89211810007691,g,g,4204.414142857143,4204.414142857143,1.864214080283094e-17,-3.6725423700277666,1.864214080283094e-18,0.1,21.306695850300606,-9.462923931216716,0.1,True
16,58364.47303240001,-84.87103010015562,g,g,4204.414142857143,4204.414142857143,3.587833092816424e-17,-3.3882059225568106,3.587833092816424e-18,0.1,20.595854731623216,-8.752082812539326,0.1,True
17,58364.4795022998,-84.86456020036712,g,g,4204.414142857143,4204.414142857143,3.09210323126775e-17,-3.452784169269247,3.09210323126775e-18,0.1,20.757300348404307,-8.913528429320417,0.1,True
