,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
0,57983.306847500004,-18.2121185873184,c,c,5330.0,5330.0,4.0778560951770067e-16,0.5622151689968558,1.1259188899904874e-17,0.027610559659575602,17.849905374858217,1.1426815093573168,0.027610559659575602,False
1,57987.296691,-14.222275087318849,c,c,5330.0,5330.0,4.557654252053034e-16,0.6105246493522998,4.3759991754354913e-17,0.09601428571428572,17.729131673969604,1.2634552102459295,0.09601428571428572,False
2,58019.224663,17.70569691267883,c,c,5330.0,5330.0,3.06944061872959e-16,0.4388425092016739,1.6830766059367252e-17,0.05483333333333334,18.15833702434617,0.8342498598693631,0.05483333333333334,False
3,57991.293084,-10.225882087324862,c,c,5330.0,5330.0,0.0,-inf,0.0,0.1,inf,-inf,0.1,True
4,58227.590842499994,226.07187641267228,c,c,5330.0,5330.0,1.1716292463760547e-16,0.02057347731260961,1.1716292463760548e-17,0.1,19.20400960406883,-0.21142271985329586,0.1,True
5,58259.507981999996,257.9890159126735,c,c,5330.0,5330.0,2.352127861388342e-17,-0.6767558005112235,2.3521278613883423e-18,0.1,20.947332798628413,-1.9547459144128787,0.1,True
6,58279.483558,277.96459191267786,c,c,5330.0,5330.0,3.666504937728196e-17,-0.4839644525510991,3.6665049377281964e-18,0.1,20.465354428728098,-1.472767544512564,0.1,True
7,58287.467312500004,285.94834641268244,c,c,5330.0,5330.0,2.9882081739635234e-17,-0.5728058773664841,2.9882081739635234e-18,0.1,20.687457990766568,-1.6948711065510338,0.1,True
8,58307.444042999996,305.92507691267383,c,c,5330.0,5330.0,2.455678501586231e-17,-0.6580452185698604,2.455678501586231e-18,0.1,20.90055634377501,-1.9079694595594745,0.1,True
9,58311.448453000005,309.9294869126825,c,c,5330.0,5330.0,3.628796477439514e-17,-0.4884541154561042,3.628796477439514e-18,0.1,20.476578585990616,-1.483991701775082,0.1,True
10,58315.41665333333,313.89768724600435,c,c,5330.0,5330.0,3.7122936876249637e-17,-0.4785743998662717,3.712293687624964e-18,0.1,20.45187929701603,-1.4592924128004974,0.1,True
11,58331.42512299999,329.9061569126716,c,c,5330.0,5330.0,2.0910830370717498e-16,0.2721545522751594,2.09108303707175e-17,0.1,18.575056916662454,0.4175299675530795,0.1,True
12,58335.37357975,333.85461366267555,c,c,5330.0,5330.0,3.768705356487868e-17,-0.47202454182482256,3.768705356487868e-18,0.1,20.43550465191241,-1.4429177676968763,0.1,True
13,58339.369295,337.85032891267474,c,c,5330.0,5330.0,6.085442689916858e-16,0.7360754500275899,6.085442689916859e-17,0.1,17.41525467228138,1.5773322119341522,0.1,True
14,58395.24812625,393.72916016267845,c,c,5330.0,5330.0,1.0659803168103033e-16,-0.020467541180211768,1.0659803168103034e-17,0.1,19.306612150300882,-0.3140252660853484,0.1,True
15,58403.22908233333,401.7101162460094,c,c,5330.0,5330.0,2.8781241477894214e-16,0.41089279652971733,2.878124147789421e-17,0.1,18.22821130602606,0.7643755781894725,0.1,True
16,58519.679126,518.1601599126807,c,c,5330.0,5330.0,7.05351253293923e-16,0.8001887155972565,7.053512532939231e-17,0.1,17.254971508357215,1.7376153758583186,0.1,True
17,58575.58694316667,574.0679770793504,c,c,5330.0,5330.0,2.713991695175248e-17,-0.6146082123699372,2.713991695175248e-18,0.1,20.791963828275197,-1.799376944059663,0.1,True
18,58579.56265233333,578.0436862460047,c,c,5330.0,5330.0,3.860320858096889e-17,-0.46159332334809733,3.860320858096889e-18,0.1,20.409426605720597,-1.4168397215050632,0.1,True
19,58583.53673125,582.01776516268,c,c,5330.0,5330.0,3.88495850507682e-17,-0.45883034225498776,3.88495850507682e-18,0.1,20.40251915298782,-1.4099322687722875,0.1,True
20,58603.533337,602.0143709126787,c,c,5330.0,5330.0,3.538963774273448e-17,-0.49934060964062965,3.5389637742734486e-18,0.1,20.503794821451926,-1.5112079372363922,0.1,True
21,58607.54619175,606.0272256626777,c,c,5330.0,5330.0,3.628796477439514e-17,-0.4884541154561042,3.628796477439514e-18,0.1,20.476578585990616,-1.483991701775082,0.1,True
22,58611.49856575,609.9795996626781,c,c,5330.0,5330.0,2.670906843670146e-17,-0.621557985862065,2.670906843670146e-18,0.1,20.809338262005518,-1.8167513777899842,0.1,True
23,58635.462532666665,633.9435665793426,c,c,5330.0,5330.0,2.974576994200708e-17,-0.5747915120316378,2.9745769942007083e-18,0.1,20.692422077429445,-1.6998351932139109,0.1,True
24,58639.49491233333,637.9759462460061,c,c,5330.0,5330.0,7.71186628126109e-17,-0.1610572361763687,7.71186628126109e-18,0.1,19.658086387791272,-0.6654995035757381,0.1,True
25,58663.404767500004,661.8858014126818,c,c,5330.0,5330.0,3.836605033250468e-17,-0.4642696345415729,3.836605033250468e-18,0.1,20.416117383704286,-1.423530499488752,0.1,True
